text,label
Thanks for your help with the bug fix! It works perfectly now.,0
Attached is the report for Q3. Let me know if you need any changes.,0
Reminder: Team building event next Thursday.,0
Can we reschedule our call to 1 PM? I have a conflict.,0
Can we reschedule our call to 4:30 PM? I have a conflict.,0
Please review the attached pull request when you have a moment.,0
Are we still going to lunch? I was thinking we could go to Chipotle.,0
We noticed suspicious activity on your credit card. Confirm your recent transactions at http://account-recovery-service.org,1
Reminder: Team building event next Thursday.,0
Attached is the report for Q2. Let me know if you need any changes.,0
Hey! Just checking in to see how you're doing. Call me when you can.,0
Are we still going to lunch? I was thinking we could go to Starbucks.,0
IT Helpdesk: We are migrating email servers. Please validate your inbox at http://account-recovery-service.org to avoid losing emails.,1
Please review the attached pull request when you have a moment.,0
Invoice #4422 is due. Please review the attached document and submit payment via http://bit.ly/123xyz,1
"Dear Customer, your bank account access is restricted. Verify your information here: http://confirm-identity-now.com",1
Security Alert: We detected an unusual login to your Chase account. Please update your password immediately at http://update-your-billing.net,1
Attached is the report for Q3. Let me know if you need any changes.,0
Hey! Just checking in to see how you're doing. Call me when you can.,0
Attached is the report for Q2. Let me know if you need any changes.,0
Please review the attached pull request when you have a moment.,0
Please review the attached pull request when you have a moment.,0
Attached is the report for Q4. Let me know if you need any changes.,0
The project deadline has been extended to Wednesday. Keep up the good work!,0
IT Helpdesk: We are migrating email servers. Please validate your inbox at http://bit.ly/123xyz to avoid losing emails.,1
We noticed suspicious activity on your credit card. Confirm your recent transactions at http://confirm-identity-now.com,1
Thanks for your help with the bug fix! It works perfectly now.,0
"Hi Jessica, let's schedule a meeting for Monday at 9:00 AM.",0
Please review the attached pull request when you have a moment.,0
Important update regarding your account security. Please login to confirm your details: http://update-your-billing.net,1
URGENT: Your Wells Fargo account will be suspended in 24 hours. Click here to verify your identity: http://update-your-billing.net,1
Can we reschedule our call to 10 AM? I have a conflict.,0
I will be out of office starting Monday and returning on Monday.,0
Thanks for your help with the bug fix! It works perfectly now.,0
Are we still going to lunch? I was thinking we could go to Panera.,0
We noticed suspicious activity on your credit card. Confirm your recent transactions at http://update-your-billing.net,1
IT Helpdesk: We are migrating email servers. Please validate your inbox at http://update-your-billing.net to avoid losing emails.,1
"Hi Jessica, let's schedule a meeting for Monday at 4:30 PM.",0
Can we reschedule our call to 4:30 PM? I have a conflict.,0
"Hi Jessica, let's schedule a meeting for Friday at 10 AM.",0
Can you send me the presentation slides from yesterday?,0
"Hi team, just a quick update on the project status.",0
I will be out of office starting Friday and returning on Friday.,0
Attached is the report for Q4. Let me know if you need any changes.,0
Are we still going to lunch? I was thinking we could go to that new sushi place.,0
Important update regarding your account security. Please login to confirm your details: http://confirm-identity-now.com,1
IT Helpdesk: We are migrating email servers. Please validate your inbox at http://confirm-identity-now.com to avoid losing emails.,1
Are we still going to lunch? I was thinking we could go to that new sushi place.,0
Security Alert: We detected an unusual login to your Google account. Please update your password immediately at http://confirm-identity-now.com,1
Reminder: Team building event next Tuesday.,0
Attached is the report for Q1. Let me know if you need any changes.,0
Hey! Just checking in to see how you're doing. Call me when you can.,0
We noticed suspicious activity on your credit card. Confirm your recent transactions at http://secure-login-verify.com,1
Can you send me the presentation slides from yesterday?,0
Attached is the report for Q4. Let me know if you need any changes.,0
Security Alert: We detected an unusual login to your Chase account. Please update your password immediately at http://secure-login-verify.com,1
URGENT: Your Netflix account will be suspended in 24 hours. Click here to verify your identity: http://bit.ly/123xyz,1
"Hi Sarah, let's schedule a meeting for Wednesday at 1 PM.",0
Please review the attached pull request when you have a moment.,0
Security Alert: We detected an unusual login to your Bank of America account. Please update your password immediately at http://confirm-identity-now.com,1
Important update regarding your account security. Please login to confirm your details: http://confirm-identity-now.com,1
Thanks for your help with the bug fix! It works perfectly now.,0
"Hi Sarah, let's schedule a meeting for Friday at 10 AM.",0
I will be out of office starting Tuesday and returning on Tuesday.,0
"Hi team, just a quick update on the project status.",0
Hey! Just checking in to see how you're doing. Call me when you can.,0
"Hi team, just a quick update on the project status.",0
I will be out of office starting Monday and returning on Monday.,0
IT Helpdesk: We are migrating email servers. Please validate your inbox at http://secure-login-verify.com to avoid losing emails.,1
I will be out of office starting Thursday and returning on Thursday.,0
"Dear Customer, your bank account access is restricted. Verify your information here: http://bit.ly/123xyz",1
Thanks for your help with the bug fix! It works perfectly now.,0
Thanks for your help with the bug fix! It works perfectly now.,0
Hey! Just checking in to see how you're doing. Call me when you can.,0
Reminder: Team building event next Thursday.,0
"Hi team, just a quick update on the project status.",0
The project deadline has been extended to Wednesday. Keep up the good work!,0
Your package could not be delivered. Please update your shipping address here: http://bit.ly/123xyz,1
Hey! Just checking in to see how you're doing. Call me when you can.,0
Hey! Just checking in to see how you're doing. Call me when you can.,0
"Hi Chris, let's schedule a meeting for Thursday at 9:00 AM.",0
You have won a $1000 gift card! Claim your prize now by visiting http://confirm-identity-now.com,1
Your package could not be delivered. Please update your shipping address here: http://account-recovery-service.org,1
We noticed suspicious activity on your credit card. Confirm your recent transactions at http://account-recovery-service.org,1
Reminder: Team building event next Wednesday.,0
I will be out of office starting Thursday and returning on Thursday.,0
Attached is the report for Q2. Let me know if you need any changes.,0
Your package could not be delivered. Please update your shipping address here: http://secure-login-verify.com,1
Security Alert: We detected an unusual login to your PayPal account. Please update your password immediately at http://secure-login-verify.com,1
IT Helpdesk: We are migrating email servers. Please validate your inbox at http://confirm-identity-now.com to avoid losing emails.,1
Can we reschedule our call to 4:30 PM? I have a conflict.,0
Are we still going to lunch? I was thinking we could go to Chipotle.,0
Attached is the report for Q4. Let me know if you need any changes.,0
Can you send me the presentation slides from yesterday?,0
I will be out of office starting Monday and returning on Monday.,0
The project deadline has been extended to Thursday. Keep up the good work!,0
Please review the attached pull request when you have a moment.,0
Can you send me the presentation slides from yesterday?,0
IT Helpdesk: We are migrating email servers. Please validate your inbox at http://account-recovery-service.org to avoid losing emails.,1
Your package could not be delivered. Please update your shipping address here: http://bit.ly/123xyz,1
Action Required: Your password expires today. Change it now at http://confirm-identity-now.com,1
URGENT: Your Amazon account will be suspended in 24 hours. Click here to verify your identity: http://confirm-identity-now.com,1
Please review the attached pull request when you have a moment.,0
Are we still going to lunch? I was thinking we could go to that new sushi place.,0
Your package could not be delivered. Please update your shipping address here: http://update-your-billing.net,1
Security Alert: We detected an unusual login to your Wells Fargo account. Please update your password immediately at http://bit.ly/123xyz,1
Invoice #5868 is due. Please review the attached document and submit payment via http://bit.ly/123xyz,1
Hey! Just checking in to see how you're doing. Call me when you can.,0
Invoice #7806 is due. Please review the attached document and submit payment via http://account-recovery-service.org,1
Thanks for your help with the bug fix! It works perfectly now.,0
Security Alert: We detected an unusual login to your Amazon account. Please update your password immediately at http://account-recovery-service.org,1
Invoice #5528 is due. Please review the attached document and submit payment via http://secure-login-verify.com,1
Hey! Just checking in to see how you're doing. Call me when you can.,0
"Hi Jordan, let's schedule a meeting for Friday at 9:00 AM.",0
Can you send me the presentation slides from yesterday?,0
Important update regarding your account security. Please login to confirm your details: http://update-your-billing.net,1
Invoice #1980 is due. Please review the attached document and submit payment via http://confirm-identity-now.com,1
We noticed suspicious activity on your credit card. Confirm your recent transactions at http://update-your-billing.net,1
Are we still going to lunch? I was thinking we could go to Chipotle.,0
Are we still going to lunch? I was thinking we could go to that new sushi place.,0
Can we reschedule our call to 10 AM? I have a conflict.,0
The project deadline has been extended to Friday. Keep up the good work!,0
Reminder: Team building event next Tuesday.,0
Thanks for your help with the bug fix! It works perfectly now.,0
IT Helpdesk: We are migrating email servers. Please validate your inbox at http://confirm-identity-now.com to avoid losing emails.,1
Important update regarding your account security. Please login to confirm your details: http://bit.ly/123xyz,1
"Dear Customer, your bank account access is restricted. Verify your information here: http://bit.ly/123xyz",1
Hey! Just checking in to see how you're doing. Call me when you can.,0
Can we reschedule our call to 10 AM? I have a conflict.,0
Are we still going to lunch? I was thinking we could go to Panera.,0
URGENT: Your Amazon account will be suspended in 24 hours. Click here to verify your identity: http://update-your-billing.net,1
Attached is the report for Q2. Let me know if you need any changes.,0
"Hi Emily, let's schedule a meeting for Friday at 10 AM.",0
The project deadline has been extended to Friday. Keep up the good work!,0
"Hi team, just a quick update on the project status.",0
URGENT: Your Google account will be suspended in 24 hours. Click here to verify your identity: http://update-your-billing.net,1
Action Required: Your password expires today. Change it now at http://confirm-identity-now.com,1
URGENT: Your Wells Fargo account will be suspended in 24 hours. Click here to verify your identity: http://confirm-identity-now.com,1
Please review the attached pull request when you have a moment.,0
Hey! Just checking in to see how you're doing. Call me when you can.,0
URGENT: Your Amazon account will be suspended in 24 hours. Click here to verify your identity: http://secure-login-verify.com,1
Can you send me the presentation slides from yesterday?,0
Are we still going to lunch? I was thinking we could go to that new sushi place.,0
The project deadline has been extended to Monday. Keep up the good work!,0
Can we reschedule our call to 4:30 PM? I have a conflict.,0
The project deadline has been extended to Tuesday. Keep up the good work!,0
Can we reschedule our call to 1 PM? I have a conflict.,0
Please review the attached pull request when you have a moment.,0
Reminder: Team building event next Tuesday.,0
Hey! Just checking in to see how you're doing. Call me when you can.,0
IT Helpdesk: We are migrating email servers. Please validate your inbox at http://confirm-identity-now.com to avoid losing emails.,1
We noticed suspicious activity on your credit card. Confirm your recent transactions at http://secure-login-verify.com,1
The project deadline has been extended to Monday. Keep up the good work!,0
Can we reschedule our call to 3 PM? I have a conflict.,0
Thanks for your help with the bug fix! It works perfectly now.,0
Invoice #8408 is due. Please review the attached document and submit payment via http://update-your-billing.net,1
Thanks for your help with the bug fix! It works perfectly now.,0
"Dear Customer, your bank account access is restricted. Verify your information here: http://bit.ly/123xyz",1
The project deadline has been extended to Monday. Keep up the good work!,0
Hey! Just checking in to see how you're doing. Call me when you can.,0
I will be out of office starting Monday and returning on Monday.,0
Can you send me the presentation slides from yesterday?,0
"Dear Customer, your bank account access is restricted. Verify your information here: http://secure-login-verify.com",1
Action Required: Your password expires today. Change it now at http://bit.ly/123xyz,1
Please review the attached pull request when you have a moment.,0
"Hi team, just a quick update on the project status.",0
Reminder: Team building event next Thursday.,0
Attached is the report for Q3. Let me know if you need any changes.,0
Attached is the report for Q1. Let me know if you need any changes.,0
Can we reschedule our call to 9:00 AM? I have a conflict.,0
Reminder: Team building event next Friday.,0
Reminder: Team building event next Wednesday.,0
"Dear Customer, your bank account access is restricted. Verify your information here: http://account-recovery-service.org",1
I will be out of office starting Monday and returning on Monday.,0
Reminder: Team building event next Thursday.,0
I will be out of office starting Thursday and returning on Thursday.,0
Reminder: Team building event next Tuesday.,0
Reminder: Team building event next Friday.,0
Hey! Just checking in to see how you're doing. Call me when you can.,0
Hey! Just checking in to see how you're doing. Call me when you can.,0
Can we reschedule our call to 1 PM? I have a conflict.,0
Reminder: Team building event next Friday.,0
Can we reschedule our call to 10 AM? I have a conflict.,0
Your package could not be delivered. Please update your shipping address here: http://update-your-billing.net,1
Attached is the report for Q4. Let me know if you need any changes.,0
Security Alert: We detected an unusual login to your Chase account. Please update your password immediately at http://secure-login-verify.com,1
IT Helpdesk: We are migrating email servers. Please validate your inbox at http://update-your-billing.net to avoid losing emails.,1
"Dear Customer, your bank account access is restricted. Verify your information here: http://confirm-identity-now.com",1
Your package could not be delivered. Please update your shipping address here: http://confirm-identity-now.com,1
Reminder: Team building event next Wednesday.,0
Invoice #1082 is due. Please review the attached document and submit payment via http://secure-login-verify.com,1
Security Alert: We detected an unusual login to your PayPal account. Please update your password immediately at http://secure-login-verify.com,1
Please review the attached pull request when you have a moment.,0
The project deadline has been extended to Wednesday. Keep up the good work!,0
I will be out of office starting Monday and returning on Monday.,0
URGENT: Your Bank of America account will be suspended in 24 hours. Click here to verify your identity: http://secure-login-verify.com,1
Your package could not be delivered. Please update your shipping address here: http://bit.ly/123xyz,1
Action Required: Your password expires today. Change it now at http://update-your-billing.net,1
I will be out of office starting Monday and returning on Monday.,0
IT Helpdesk: We are migrating email servers. Please validate your inbox at http://secure-login-verify.com to avoid losing emails.,1
IT Helpdesk: We are migrating email servers. Please validate your inbox at http://secure-login-verify.com to avoid losing emails.,1
Invoice #2814 is due. Please review the attached document and submit payment via http://account-recovery-service.org,1
Important update regarding your account security. Please login to confirm your details: http://account-recovery-service.org,1
Are we still going to lunch? I was thinking we could go to the cafe.,0
"Hi David, let's schedule a meeting for Tuesday at 3 PM.",0
Attached is the report for Q2. Let me know if you need any changes.,0
Your package could not be delivered. Please update your shipping address here: http://account-recovery-service.org,1
You have won a $1000 gift card! Claim your prize now by visiting http://confirm-identity-now.com,1
Security Alert: We detected an unusual login to your Netflix account. Please update your password immediately at http://update-your-billing.net,1
"Dear Customer, your bank account access is restricted. Verify your information here: http://bit.ly/123xyz",1
Invoice #9114 is due. Please review the attached document and submit payment via http://bit.ly/123xyz,1
Action Required: Your password expires today. Change it now at http://account-recovery-service.org,1
"Dear Customer, your bank account access is restricted. Verify your information here: http://update-your-billing.net",1
Security Alert: We detected an unusual login to your Wells Fargo account. Please update your password immediately at http://secure-login-verify.com,1
Attached is the report for Q4. Let me know if you need any changes.,0
Your package could not be delivered. Please update your shipping address here: http://confirm-identity-now.com,1
"Hi Mike, let's schedule a meeting for Wednesday at 9:00 AM.",0
Security Alert: We detected an unusual login to your Google account. Please update your password immediately at http://confirm-identity-now.com,1
Attached is the report for Q4. Let me know if you need any changes.,0
I will be out of office starting Thursday and returning on Thursday.,0
URGENT: Your Netflix account will be suspended in 24 hours. Click here to verify your identity: http://account-recovery-service.org,1
You have won a $1000 gift card! Claim your prize now by visiting http://confirm-identity-now.com,1
Action Required: Your password expires today. Change it now at http://account-recovery-service.org,1
Can you send me the presentation slides from yesterday?,0
"Hi team, just a quick update on the project status.",0
Thanks for your help with the bug fix! It works perfectly now.,0
Security Alert: We detected an unusual login to your PayPal account. Please update your password immediately at http://bit.ly/123xyz,1
Your package could not be delivered. Please update your shipping address here: http://confirm-identity-now.com,1
The project deadline has been extended to Friday. Keep up the good work!,0
Important update regarding your account security. Please login to confirm your details: http://confirm-identity-now.com,1
The project deadline has been extended to Monday. Keep up the good work!,0
Are we still going to lunch? I was thinking we could go to Panera.,0
Hey! Just checking in to see how you're doing. Call me when you can.,0
URGENT: Your PayPal account will be suspended in 24 hours. Click here to verify your identity: http://secure-login-verify.com,1
Please review the attached pull request when you have a moment.,0
Are we still going to lunch? I was thinking we could go to Starbucks.,0
Hey! Just checking in to see how you're doing. Call me when you can.,0
Can you send me the presentation slides from yesterday?,0
Hey! Just checking in to see how you're doing. Call me when you can.,0
"Dear Customer, your bank account access is restricted. Verify your information here: http://account-recovery-service.org",1
The project deadline has been extended to Tuesday. Keep up the good work!,0
Are we still going to lunch? I was thinking we could go to Chipotle.,0
Attached is the report for Q4. Let me know if you need any changes.,0
You have won a $1000 gift card! Claim your prize now by visiting http://secure-login-verify.com,1
"Hi David, let's schedule a meeting for Friday at 4:30 PM.",0
Can we reschedule our call to 4:30 PM? I have a conflict.,0
Thanks for your help with the bug fix! It works perfectly now.,0
I will be out of office starting Thursday and returning on Thursday.,0
Security Alert: We detected an unusual login to your Apple account. Please update your password immediately at http://update-your-billing.net,1
Are we still going to lunch? I was thinking we could go to the cafe.,0
"Dear Customer, your bank account access is restricted. Verify your information here: http://secure-login-verify.com",1
"Hi John, let's schedule a meeting for Tuesday at 3 PM.",0
Action Required: Your password expires today. Change it now at http://account-recovery-service.org,1
IT Helpdesk: We are migrating email servers. Please validate your inbox at http://bit.ly/123xyz to avoid losing emails.,1
URGENT: Your PayPal account will be suspended in 24 hours. Click here to verify your identity: http://confirm-identity-now.com,1
Important update regarding your account security. Please login to confirm your details: http://confirm-identity-now.com,1
Your package could not be delivered. Please update your shipping address here: http://confirm-identity-now.com,1
Action Required: Your password expires today. Change it now at http://bit.ly/123xyz,1
Your package could not be delivered. Please update your shipping address here: http://account-recovery-service.org,1
Your package could not be delivered. Please update your shipping address here: http://account-recovery-service.org,1
"Hi Jordan, let's schedule a meeting for Thursday at 3 PM.",0
Are we still going to lunch? I was thinking we could go to Starbucks.,0
Please review the attached pull request when you have a moment.,0
Are we still going to lunch? I was thinking we could go to the cafe.,0
"Hi John, let's schedule a meeting for Thursday at 1 PM.",0
Can you send me the presentation slides from yesterday?,0
Can we reschedule our call to 3 PM? I have a conflict.,0
IT Helpdesk: We are migrating email servers. Please validate your inbox at http://secure-login-verify.com to avoid losing emails.,1
We noticed suspicious activity on your credit card. Confirm your recent transactions at http://update-your-billing.net,1
Important update regarding your account security. Please login to confirm your details: http://account-recovery-service.org,1
Are we still going to lunch? I was thinking we could go to the cafe.,0
Security Alert: We detected an unusual login to your PayPal account. Please update your password immediately at http://update-your-billing.net,1
Can you send me the presentation slides from yesterday?,0
"Hi Jessica, let's schedule a meeting for Thursday at 3 PM.",0
Are we still going to lunch? I was thinking we could go to Chipotle.,0
Invoice #7092 is due. Please review the attached document and submit payment via http://account-recovery-service.org,1
IT Helpdesk: We are migrating email servers. Please validate your inbox at http://bit.ly/123xyz to avoid losing emails.,1
IT Helpdesk: We are migrating email servers. Please validate your inbox at http://update-your-billing.net to avoid losing emails.,1
Action Required: Your password expires today. Change it now at http://account-recovery-service.org,1
Hey! Just checking in to see how you're doing. Call me when you can.,0
Thanks for your help with the bug fix! It works perfectly now.,0
IT Helpdesk: We are migrating email servers. Please validate your inbox at http://secure-login-verify.com to avoid losing emails.,1
Attached is the report for Q4. Let me know if you need any changes.,0
"Hi Mike, let's schedule a meeting for Thursday at 3 PM.",0
Thanks for your help with the bug fix! It works perfectly now.,0
Invoice #1148 is due. Please review the attached document and submit payment via http://bit.ly/123xyz,1
Please review the attached pull request when you have a moment.,0
Are we still going to lunch? I was thinking we could go to that new sushi place.,0
Important update regarding your account security. Please login to confirm your details: http://account-recovery-service.org,1
I will be out of office starting Monday and returning on Monday.,0
Reminder: Team building event next Monday.,0
Attached is the report for Q1. Let me know if you need any changes.,0
Your package could not be delivered. Please update your shipping address here: http://account-recovery-service.org,1
Security Alert: We detected an unusual login to your Netflix account. Please update your password immediately at http://bit.ly/123xyz,1
Action Required: Your password expires today. Change it now at http://bit.ly/123xyz,1
The project deadline has been extended to Monday. Keep up the good work!,0
URGENT: Your Apple account will be suspended in 24 hours. Click here to verify your identity: http://account-recovery-service.org,1
Can you send me the presentation slides from yesterday?,0
Thanks for your help with the bug fix! It works perfectly now.,0
We noticed suspicious activity on your credit card. Confirm your recent transactions at http://update-your-billing.net,1
Security Alert: We detected an unusual login to your PayPal account. Please update your password immediately at http://update-your-billing.net,1
Thanks for your help with the bug fix! It works perfectly now.,0
Your package could not be delivered. Please update your shipping address here: http://secure-login-verify.com,1
Attached is the report for Q2. Let me know if you need any changes.,0
Can we reschedule our call to 3 PM? I have a conflict.,0
Security Alert: We detected an unusual login to your Google account. Please update your password immediately at http://account-recovery-service.org,1
"Hi team, just a quick update on the project status.",0
IT Helpdesk: We are migrating email servers. Please validate your inbox at http://secure-login-verify.com to avoid losing emails.,1
Can we reschedule our call to 1 PM? I have a conflict.,0
URGENT: Your Apple account will be suspended in 24 hours. Click here to verify your identity: http://bit.ly/123xyz,1
Please review the attached pull request when you have a moment.,0
Hey! Just checking in to see how you're doing. Call me when you can.,0
You have won a $1000 gift card! Claim your prize now by visiting http://account-recovery-service.org,1
Security Alert: We detected an unusual login to your Google account. Please update your password immediately at http://confirm-identity-now.com,1
Security Alert: We detected an unusual login to your Wells Fargo account. Please update your password immediately at http://account-recovery-service.org,1
Please review the attached pull request when you have a moment.,0
Can we reschedule our call to 10 AM? I have a conflict.,0
Can we reschedule our call to 4:30 PM? I have a conflict.,0
Invoice #7053 is due. Please review the attached document and submit payment via http://secure-login-verify.com,1
Please review the attached pull request when you have a moment.,0
Thanks for your help with the bug fix! It works perfectly now.,0
The project deadline has been extended to Tuesday. Keep up the good work!,0
Thanks for your help with the bug fix! It works perfectly now.,0
"Hi team, just a quick update on the project status.",0
I will be out of office starting Tuesday and returning on Tuesday.,0
"Hi team, just a quick update on the project status.",0
Are we still going to lunch? I was thinking we could go to Panera.,0
IT Helpdesk: We are migrating email servers. Please validate your inbox at http://account-recovery-service.org to avoid losing emails.,1
URGENT: Your Wells Fargo account will be suspended in 24 hours. Click here to verify your identity: http://update-your-billing.net,1
Thanks for your help with the bug fix! It works perfectly now.,0
Invoice #6954 is due. Please review the attached document and submit payment via http://account-recovery-service.org,1
Your package could not be delivered. Please update your shipping address here: http://account-recovery-service.org,1
"Hi team, just a quick update on the project status.",0
Hey! Just checking in to see how you're doing. Call me when you can.,0
Your package could not be delivered. Please update your shipping address here: http://account-recovery-service.org,1
We noticed suspicious activity on your credit card. Confirm your recent transactions at http://update-your-billing.net,1
Hey! Just checking in to see how you're doing. Call me when you can.,0
Important update regarding your account security. Please login to confirm your details: http://account-recovery-service.org,1
Action Required: Your password expires today. Change it now at http://secure-login-verify.com,1
"Hi Alex, let's schedule a meeting for Thursday at 1 PM.",0
Hey! Just checking in to see how you're doing. Call me when you can.,0
You have won a $1000 gift card! Claim your prize now by visiting http://account-recovery-service.org,1
Thanks for your help with the bug fix! It works perfectly now.,0
Are we still going to lunch? I was thinking we could go to the cafe.,0
Attached is the report for Q2. Let me know if you need any changes.,0
Please review the attached pull request when you have a moment.,0
"Dear Customer, your bank account access is restricted. Verify your information here: http://account-recovery-service.org",1
Attached is the report for Q1. Let me know if you need any changes.,0
"Dear Customer, your bank account access is restricted. Verify your information here: http://account-recovery-service.org",1
We noticed suspicious activity on your credit card. Confirm your recent transactions at http://bit.ly/123xyz,1
Can we reschedule our call to 9:00 AM? I have a conflict.,0
Please review the attached pull request when you have a moment.,0
Action Required: Your password expires today. Change it now at http://confirm-identity-now.com,1
URGENT: Your Apple account will be suspended in 24 hours. Click here to verify your identity: http://update-your-billing.net,1
Security Alert: We detected an unusual login to your Netflix account. Please update your password immediately at http://update-your-billing.net,1
Attached is the report for Q2. Let me know if you need any changes.,0
Please review the attached pull request when you have a moment.,0
The project deadline has been extended to Monday. Keep up the good work!,0
"Hi Chris, let's schedule a meeting for Wednesday at 3 PM.",0
Invoice #6174 is due. Please review the attached document and submit payment via http://bit.ly/123xyz,1
We noticed suspicious activity on your credit card. Confirm your recent transactions at http://confirm-identity-now.com,1
Can we reschedule our call to 1 PM? I have a conflict.,0
The project deadline has been extended to Friday. Keep up the good work!,0
Invoice #9021 is due. Please review the attached document and submit payment via http://bit.ly/123xyz,1
Important update regarding your account security. Please login to confirm your details: http://account-recovery-service.org,1
Thanks for your help with the bug fix! It works perfectly now.,0
You have won a $1000 gift card! Claim your prize now by visiting http://update-your-billing.net,1
Can you send me the presentation slides from yesterday?,0
Reminder: Team building event next Tuesday.,0
IT Helpdesk: We are migrating email servers. Please validate your inbox at http://account-recovery-service.org to avoid losing emails.,1
Security Alert: We detected an unusual login to your Wells Fargo account. Please update your password immediately at http://update-your-billing.net,1
Invoice #7529 is due. Please review the attached document and submit payment via http://bit.ly/123xyz,1
Can we reschedule our call to 4:30 PM? I have a conflict.,0
Security Alert: We detected an unusual login to your Netflix account. Please update your password immediately at http://secure-login-verify.com,1
I will be out of office starting Friday and returning on Friday.,0
Important update regarding your account security. Please login to confirm your details: http://account-recovery-service.org,1
You have won a $1000 gift card! Claim your prize now by visiting http://secure-login-verify.com,1
Hey! Just checking in to see how you're doing. Call me when you can.,0
URGENT: Your Netflix account will be suspended in 24 hours. Click here to verify your identity: http://account-recovery-service.org,1
Your package could not be delivered. Please update your shipping address here: http://bit.ly/123xyz,1
Thanks for your help with the bug fix! It works perfectly now.,0
Reminder: Team building event next Friday.,0
Important update regarding your account security. Please login to confirm your details: http://bit.ly/123xyz,1
We noticed suspicious activity on your credit card. Confirm your recent transactions at http://account-recovery-service.org,1
Attached is the report for Q2. Let me know if you need any changes.,0
"Hi Jessica, let's schedule a meeting for Monday at 4:30 PM.",0
Can you send me the presentation slides from yesterday?,0
Can we reschedule our call to 3 PM? I have a conflict.,0
I will be out of office starting Thursday and returning on Thursday.,0
Your package could not be delivered. Please update your shipping address here: http://update-your-billing.net,1
Your package could not be delivered. Please update your shipping address here: http://update-your-billing.net,1
Thanks for your help with the bug fix! It works perfectly now.,0
"Dear Customer, your bank account access is restricted. Verify your information here: http://confirm-identity-now.com",1
The project deadline has been extended to Friday. Keep up the good work!,0
